City,Date,lat,lon
San Clemente,9/25/2010,33.4269728,-117.6119925
Vandenberg AFB,9/25/2010,34.7582101,-120.5163949
Los Angeles,9/25/2010,34.0522342,-118.2436849
Manhattan Beach,9/25/2010,33.8847361,-118.4109089
Chico,9/26/2010,39.7284944,-121.8374777
Seal Beach,9/26/2010,33.7414064,-118.1047866
Chino,9/26/2010,34.0122346,-117.688944
Palo Alto,9/26/2010,37.4418834,-122.1430195
Tiburon,9/27/2010,37.8735377,-122.4566392
Santa Monica,9/28/2010,34.0194543,-118.4911912
San Francisco,9/28/2010,37.7749295,-122.4194155
Shingle Springs,9/29/2010,38.6691362,-120.9359987
San Mateo,9/29/2010,37.5629917,-122.3255254
Pomona,9/29/2010,34.055103,-117.7499909
Hesperia,9/30/2010,34.4263886,-117.3008784
Buena Park,9/30/2010,33.8675143,-117.9981181
Chico,10/1/2010,39.7284944,-121.8374777
Corona,10/1/2010,33.8752935,-117.5664384
Orange,10/2/2010,33.7877944,-117.8531119
Pleasanton,10/2/2010,37.6624312,-121.8746789
Desert Center,10/2/2010,33.7133313,-115.4004287
Pomona,10/2/2010,34.055103,-117.7499909
Burson & Wallace,10/3/2010,38.1838079,-120.8904938
Prunedale,10/4/2010,36.7757907,-121.6696689
Mariposa,10/4/2010,37.4849377,-119.9662843
Sacramento,10/5/2010,38.5815719,-121.4943996
Antelope,10/7/2010,38.7166871,-121.3644216
South San Gabriel,10/8/2010,34.0492126,-118.0949198
Stockton,10/9/2010,37.9577016,-121.2907796
Soquel,10/9/2010,36.9880057,-121.9566267
San Francisco Airport,10/10/2010,37.6213129,-122.3789554
Garden Grove,10/10/2010,33.7739053,-117.9414477
Anaheim,10/10/2010,33.8352932,-117.9145036
Redondo Beach,10/11/2010,33.8491816,-118.3884078
Orangevale,10/11/2010,38.6785145,-121.2257818
Glendora,10/11/2010,34.1361187,-117.865339
Ramona,10/11/2010,33.0376384,-116.8765386
Union City,10/11/2010,37.5933918,-122.0438298
Milpitas,10/12/2010,37.4323341,-121.8995741
Milpitas,10/12/2010,37.4323341,-121.8995741
Lincoln,10/13/2010,38.891565,-121.2930079
Sunol,10/13/2010,37.5943781,-121.8885683
Martinez,10/13/2010,38.0193657,-122.1341321
San Francisco,10/13/2010,37.7749295,-122.4194155
San Francisco,10/13/2010,37.7749295,-122.4194155
Rio Linda,10/13/2010,38.6910138,-121.4485654
Etna,10/13/2010,41.4568065,-122.8947551
Visalia,10/14/2010,36.3302284,-119.2920585
Ripon,10/14/2010,37.7394537,-121.1354141
Livermore,10/14/2010,37.6818745,-121.7680088
Arcadia,10/16/2010,34.1397292,-118.0353449
Santa Ana,10/17/2010,33.7455731,-117.8678338
Martinez,10/18/2010,38.0193657,-122.1341321
Crescent City/Gasquet,10/19/2010,41.8781681,-123.984798
San Jose,10/21/2010,37.3382082,-121.8863286
Oakland,10/22/2010,37.8043637,-122.2711137
Eureka,10/23/2010,40.8020712,-124.1636729
Venice,10/23/2010,33.9850469,-118.4694832
Venice,10/23/2010,33.9850469,-118.4694832
Yuba City,10/25/2010,39.1404477,-121.6169108
Meadow Vista,10/27/2010,39.0010079,-121.0218887
Tracy,10/28/2010,37.7396513,-121.4252227
Northridge,10/28/2010,34.2381251,-118.530123
Northridge,10/31/2010,34.2381251,-118.530123
Dunsmuir,10/31/2010,41.2082089,-122.2719529
Los Angeles,11/1/2010,34.0522342,-118.2436849
Los Angeles,11/1/2010,34.0522342,-118.2436849
Tracy,11/1/2010,37.7396513,-121.4252227
Oxnard,11/2/2010,34.1975048,-119.1770516
San Mateo,11/2/2010,37.5629917,-122.3255254
Berkeley,11/2/2010,37.8715926,-122.272747
Los Angeles,11/2/2010,34.0522342,-118.2436849
Inglewood,11/3/2010,33.9616801,-118.3531311
Cedarville,11/3/2010,41.5290606,-120.1732781
Grover Beach,11/4/2010,35.1216424,-120.6212821
Upland,11/4/2010,34.09751,-117.6483876
San Diego,11/4/2010,32.715738,-117.1610838
Venice,11/4/2010,33.9850469,-118.4694832
Oxnard,11/5/2010,34.1975048,-119.1770516
Port Hueneme,11/5/2010,34.1477829,-119.1951074
Thousand Oaks,11/5/2010,34.1705609,-118.8375937
Jackson,11/5/2010,38.3488023,-120.7741018
Visalia,11/6/2010,36.3302284,-119.2920585
Sedona,11/6/2010,33.6914185,-117.6691528
Corona del Mar,11/6/2010,33.5978595,-117.8730142
Hermosa Beach,11/6/2010,33.8622366,-118.3995194
Huntington Beach,11/8/2010,33.660297,-117.9992265
Glendale,11/8/2010,34.1425078,-118.255075
Fontana,11/8/2010,34.0922335,-117.435048
Palmdale,11/8/2010,34.5794343,-118.1164613
Atwater,11/10/2010,37.3477174,-120.609084
Campo Seco,11/10/2010,38.22714,-120.8532709
Folsom,11/11/2010,38.6779591,-121.1760583
Sacramento,11/11/2010,38.5815719,-121.4943996
Laguna Hills,11/11/2010,33.590277,-117.6962824
San Francisco,11/12/2010,37.7749295,-122.4194155
West Covina,11/13/2010,34.0686208,-117.9389526
Magalia,11/13/2010,39.8121058,-121.5783059
Roseville,11/13/2010,38.7521235,-121.2880059
San Jose,11/13/2010,37.3382082,-121.8863286
San Pablo,11/14/2010,37.9621457,-122.3455263
Bakersfield,11/15/2010,35.3732921,-119.0187125
San Diego,11/15/2010,32.715738,-117.1610838
Stockton,11/15/2010,37.9577016,-121.2907796
Hayward,11/16/2010,37.6688205,-122.0807964
San Bernardino,11/17/2010,34.1083449,-117.2897652
